omitted_review_row_index	remaining_clusters	scope	target	metric	reviewed_model_assessments	positive_model_assessments	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
9	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	15	0.8912	270.0	0.6341	0.5	0.8667	13	13	2
9	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
10	29	overall	human_decision_change_yes	wer	87	14	0.6776	42.59	0.4	0.3333	0.5	7	14	7
10	29	overall	human_decision_change_yes	cer	87	14	0.7001	16.42	0.4138	0.2727	0.8571	12	32	2
10	29	overall	human_decision_change_yes	sres_total	87	14	0.8904	270.0	0.6154	0.48	0.8571	12	13	2
10	29	overall	human_decision_change_yes	ceis_max	87	14	0.9163	5.0	0.5957	0.4242	1.0	14	19	0
10	29	overall	human_decision_change_yes_or_uncertain	wer	87	14	0.6776	42.59	0.4	0.3333	0.5	7	14	7
10	29	overall	human_decision_change_yes_or_uncertain	cer	87	14	0.7001	16.42	0.4138	0.2727	0.8571	12	32	2
10	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	14	0.8904	270.0	0.6154	0.48	0.8571	12	13	2
10	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	14	0.9163	5.0	0.5957	0.4242	1.0	14	19	0
11	29	overall	human_decision_change_yes	wer	87	15	0.6894	43.33	0.4324	0.3636	0.5333	8	14	7
11	29	overall	human_decision_change_yes	cer	87	15	0.7218	15.69	0.4444	0.2917	0.9333	14	34	1
11	29	overall	human_decision_change_yes	sres_total	87	15	0.8912	270.0	0.6341	0.5	0.8667	13	13	2
11	29	overall	human_decision_change_yes	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
11	29	overall	human_decision_change_yes_or_uncertain	wer	87	15	0.6894	43.33	0.4324	0.3636	0.5333	8	14	7
11	29	overall	human_decision_change_yes_or_uncertain	cer	87	15	0.7218	15.69	0.4444	0.2917	0.9333	14	34	1
11	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	15	0.8912	270.0	0.6341	0.5	0.8667	13	13	2
11	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
12	29	overall	human_decision_change_yes	wer	87	16	0.6897	42.59	0.4615	0.3913	0.5625	9	14	7
12	29	overall	human_decision_change_yes	cer	87	16	0.7232	16.42	0.4667	0.3182	0.875	14	30	2
12	29	overall	human_decision_change_yes	sres_total	87	16	0.9071	270.0	0.6667	0.5385	0.875	14	12	2
12	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
12	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6897	42.59	0.4615	0.3913	0.5625	9	14	7
