scope	asr_run_id	target	metric	rows	positive_rows	positive_rate	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
asr_run	breeze_asr25_lora_high_stakes_300	high_risk_missed	sres_total	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	high_risk_missed	sres_max	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	high_risk_missed	ceis_max	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	critical_miss	wer	300	0	0.0		2.5	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	critical_miss	cer	300	0	0.0		1.18	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	critical_miss	sres_total	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	critical_miss	sres_max	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	critical_miss	ceis_max	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_lora_high_stakes_300	over_escalation	wer	300	3	0.01	0.6324	23.19	0.0458	0.0234	1.0	3	125	0
asr_run	breeze_asr25_lora_high_stakes_300	over_escalation	cer	300	3	0.01	0.6661	25.55	0.0465	0.025	0.3333	1	39	2
asr_run	breeze_asr25_lora_high_stakes_300	over_escalation	sres_total	300	3	0.01	0.9905	285.0	0.5714	0.5	0.6667	2	2	1
asr_run	breeze_asr25_lora_high_stakes_300	over_escalation	sres_max	300	3	0.01	0.9899	75.0	0.5	0.3333	1.0	3	6	0
asr_run	breeze_asr25_lora_high_stakes_300	over_escalation	ceis_max	300	3	0.01	0.9899	5.0	0.5	0.3333	1.0	3	6	0
asr_run	breeze_asr25_lora_high_stakes_300	danger_event	wer	300	9	0.03	0.7726	43.33	0.2727	0.2308	0.3333	3	10	6
asr_run	breeze_asr25_lora_high_stakes_300	danger_event	cer	300	9	0.03	0.7883	32.63	0.2143	0.1579	0.3333	3	16	6
asr_run	breeze_asr25_lora_high_stakes_300	danger_event	sres_total	300	9	0.03	1.0	210.0	1.0	1.0	1.0	9	0	0
asr_run	breeze_asr25_lora_high_stakes_300	danger_event	sres_max	300	9	0.03	1.0	75.0	1.0	1.0	1.0	9	0	0
asr_run	breeze_asr25_lora_high_stakes_300	danger_event	ceis_max	300	9	0.03	1.0	5.0	1.0	1.0	1.0	9	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	label_flip	wer	300	4	0.0133	0.8074	34.57	0.4	0.3333	0.5	2	4	2
asr_run	breeze_asr25_partial_encoder_high_stakes_300	label_flip	cer	300	4	0.0133	0.8049	30.4	0.5	0.5	0.5	2	2	2
asr_run	breeze_asr25_partial_encoder_high_stakes_300	label_flip	sres_total	300	4	0.0133	1.0	270.0	1.0	1.0	1.0	4	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	label_flip	sres_max	300	4	0.0133	1.0	75.0	1.0	1.0	1.0	4	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	label_flip	ceis_max	300	4	0.0133	1.0	5.0	1.0	1.0	1.0	4	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	unsafe_downrouting	wer	300	3	0.01	0.7565	100.0	0.5	1.0	0.3333	1	0	2
asr_run	breeze_asr25_partial_encoder_high_stakes_300	unsafe_downrouting	cer	300	3	0.01	0.7553	30.4	0.5714	0.5	0.6667	2	2	1
asr_run	breeze_asr25_partial_encoder_high_stakes_300	unsafe_downrouting	sres_total	300	3	0.01	0.9966	270.0	0.8571	0.75	1.0	3	1	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	unsafe_downrouting	sres_max	300	3	0.01	0.9983	75.0	0.8571	0.75	1.0	3	1	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	unsafe_downrouting	ceis_max	300	3	0.01	0.9989	5.0	0.8571	0.75	1.0	3	1	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	high_risk_missed	wer	300	1	0.0033	1.0	100.0	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	high_risk_missed	cer	300	1	0.0033	1.0	126.74	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	high_risk_missed	sres_total	300	1	0.0033	0.9933	270.0	0.4	0.25	1.0	1	3	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	high_risk_missed	sres_max	300	1	0.0033	0.995	75.0	0.4	0.25	1.0	1	3	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	high_risk_missed	ceis_max	300	1	0.0033	1.0	10.0	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	critical_miss	wer	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	critical_miss	cer	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	critical_miss	sres_total	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	critical_miss	sres_max	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	critical_miss	ceis_max	300	0	0.0		0.0	0.0	0.0	0.0	0	300	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	over_escalation	wer	300	1	0.0033	0.9532	26.09	0.125	0.0667	1.0	1	14	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	over_escalation	cer	300	1	0.0033	0.9465	18.26	0.1111	0.0588	1.0	1	16	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	over_escalation	sres_total	300	1	0.0033	1.0	285.0	1.0	1.0	1.0	1	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	over_escalation	sres_max	300	1	0.0033	0.995	75.0	0.4	0.25	1.0	1	3	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	over_escalation	ceis_max	300	1	0.0033	0.9933	5.0	0.4	0.25	1.0	1	3	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	danger_event	wer	300	4	0.0133	0.8074	34.57	0.4	0.3333	0.5	2	4	2
asr_run	breeze_asr25_partial_encoder_high_stakes_300	danger_event	cer	300	4	0.0133	0.8049	30.4	0.5	0.5	0.5	2	2	2
asr_run	breeze_asr25_partial_encoder_high_stakes_300	danger_event	sres_total	300	4	0.0133	1.0	270.0	1.0	1.0	1.0	4	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	danger_event	sres_max	300	4	0.0133	1.0	75.0	1.0	1.0	1.0	4	0	0
asr_run	breeze_asr25_partial_encoder_high_stakes_300	danger_event	ceis_max	300	4	0.0133	1.0	5.0	1.0	1.0	1.0	4	0	0
